Iteration,0,1,2,3,4,5,6,7,8,9
447,47,43,37,31,37,21,41,37,43,45
448,38,26,32,36,24,36,32,26,38,36
449,29,33,25,49,35,23,43,21,43,29
450,44,36,48,40,32,40,36,32,28,36
451,34,30,24,32,36,38,44,46,36,44
452,40,30,22,28,32,30,24,30,34,26
453,39,39,39,43,33,37,45,57,31,33
454,47,29,33,25,33,29,25,29,25,29
455,41,33,31,47,41,35,27,33,39,45
456,27,45,33,33,35,39,43,29,31,59
457,36,34,34,28,32,18,30,34,28,40
458,31,39,25,65,39,37,51,41,31,37
459,45,31,31,41,49,31,31,37,27,25
460,29,41,31,31,59,43,39,31,39,45
461,32,20,34,28,26,30,34,22,32,24
462,39,31,31,25,33,25,23,27,31,29
463,26,48,28,34,34,36,32,30,38,42
464,39,35,31,23,43,37,31,35,29,31
465,22,26,28,26,26,26,32,20,42,26
466,14,14,46,24,18,32,40,18,26,40
467,23,49,27,31,41,43,23,31,49,39
468,41,29,23,29,23,29,43,49,33,35
469,30,38,34,26,18,30,40,28,24,32
470,32,38,24,58,44,36,32,40,36,30
471,32,46,32,38,52,50,42,32,44,48
472,34,38,36,34,34,36,44,38,46,42
473,28,22,24,38,28,28,44,26,28,26
474,42,40,58,38,44,36,34,40,32,42
475,31,29,53,33,27,37,45,27,37,43
476,29,33,35,45,37,33,23,45,43,37
477,33,35,23,39,33,29,33,43,27,17
478,30,24,32,34,30,20,32,20,32,26
479,27,31,31,31,27,35,33,27,29,33
480,27,23,27,35,41,29,29,43,33,23
481,27,27,43,29,55,41,43,35,35,37
482,52,32,24,36,40,44,52,42,38,36
483,60,30,34,50,30,28,28,30,32,50
484,28,32,40,36,48,28,22,30,46,32
485,34,50,28,38,40,32,26,30,28,46
486,33,33,35,31,41,47,45,41,29,45
487,32,30,30,26,34,44,38,20,40,44
488,41,49,45,39,31,33,39,35,33,33
489,24,20,30,32,28,28,50,14,26,34
490,33,27,51,39,51,25,31,29,37,27
491,45,37,31,39,37,27,41,47,35,53
492,32,28,20,28,38,32,34,40,30,40
493,44,34,34,62,40,22,28,28,40,30
494,31,33,31,35,29,31,37,35,33,49
495,20,54,22,34,32,50,26,20,24,30
496,47,37,69,37,29,37,23,29,43,37
497,24,28,44,40,34,34,36,38,40,38
498,41,39,29,31,41,35,39,51,35,41
499,32,28,30,34,20,28,32,18,28,26
500,43,39,45,53,35,25,33,37,47,45
501,62,36,38,28,36,38,34,34,54,46
502,38,26,50,26,26,30,42,34,28,30
503,19,27,21,15,19,21,29,17,21,21
504,27,51,35,31,33,35,31,29,33,35
505,38,34,34,48,22,28,24,38,26,26
506,40,18,34,32,34,20,38,46,24,44
507,29,33,43,41,35,27,43,31,37,25
508,22,26,32,28,28,24,42,40,40,22
509,41,41,37,35,39,35,45,27,49,39
510,35,49,39,27,53,31,23,31,37,27
511,49,35,47,41,37,41,39,33,35,29
512,32,32,20,22,26,26,34,30,36,24
513,25,23,29,27,25,29,25,33,27,33
514,18,12,18,22,26,22,18,28,24,22
515,32,40,38,38,48,44,40,40,32,34
516,23,31,27,19,37,35,31,27,23,25
517,49,37,41,63,33,23,39,25,27,35
518,54,34,30,40,34,40,42,44,34,30
519,42,44,50,44,36,50,30,42,38,36
520,49,43,21,29,29,23,25,43,29,25
521,35,39,47,39,47,39,39,53,33,27
522,40,32,38,34,32,48,32,28,30,44
523,30,50,30,34,48,32,32,42,30,36
524,25,43,29,31,29,39,27,45,29,19
525,36,32,32,40,46,38,38,38,34,42
526,36,38,28,28,30,36,50,46,42,40
527,22,24,28,24,24,28,36,28,30,40
528,29,27,35,37,51,41,31,33,33,31
529,33,27,29,35,23,39,39,27,37,27
530,38,34,50,44,46,46,42,38,44,36
531,24,18,24,26,16,26,22,28,20,36
532,32,24,32,22,34,34,32,36,42,42
533,42,30,24,22,26,26,24,32,42,40
534,26,30,24,38,34,36,28,24,32,22
535,35,41,37,33,35,37,59,23,45,31
536,29,39,23,35,51,25,23,43,41,41
537,43,45,37,29,51,43,45,43,39,37
538,47,43,41,45,35,35,39,39,37,41
539,33,33,25,39,41,39,31,31,27,27
540,46,42,46,22,32,42,44,56,30,28
541,35,27,31,33,27,43,41,39,31,55
542,29,45,41,33,37,35,35,37,37,35
543,37,41,27,23,41,39,45,31,27,39
544,37,35,39,39,31,35,37,27,29,33
545,23,47,41,31,29,35,47,51,35,59
546,32,38,22,36,34,34,30,28,48,32
547,31,35,51,37,33,51,39,33,35,33
548,26,26,44,40,42,26,30,40,30,28
549,26,36,28,24,30,26,14,30,22,28
550,27,33,29,35,39,23,49,25,35,41
551,36,32,38,26,26,34,32,26,40,34
552,22,24,20,18,18,38,36,16,30,18
553,30,38,32,54,40,40,40,38,44,40
554,22,34,40,32,26,38,26,26,24,30
555,23,35,33,25,31,29,39,31,21,31
556,41,31,43,37,35,39,43,37,43,39
557,37,27,37,37,41,41,69,43,41,45
558,33,39,23,25,21,25,25,35,31,33
559,32,32,26,32,32,40,40,40,24,28
560,40,24,52,38,38,34,44,44,32,38
561,36,42,42,44,26,28,32,32,40,34
562,43,23,31,23,51,23,31,31,29,41
563,47,31,39,35,43,41,41,47,37,55
564,40,28,32,26,26,36,26,46,36,24
565,32,22,36,50,44,20,30,40,32,36
566,52,60,44,26,44,38,30,38,42,46
567,43,35,39,33,37,35,49,35,47,41
568,40,36,26,44,28,32,30,36,32,28
569,29,27,43,51,47,33,35,31,31,35
570,33,29,25,37,17,43,61,21,31,33
571,34,36,30,26,28,38,22,26,36,30
572,34,26,36,28,40,24,40,52,30,30
573,23,17,15,25,31,19,11,25,45,19
574,29,19,35,39,35,27,25,31,35,29
575,44,32,38,40,38,44,40,30,36,42
576,26,40,42,36,28,46,34,38,20,30
577,30,34,36,42,38,40,34,36,30,36
578,42,36,42,34,30,28,30,36,42,26
579,27,27,49,39,43,35,27,47,27,35
580,31,41,39,43,29,37,41,41,49,43
581,50,22,38,26,40,36,40,42,26,48
582,35,41,33,29,25,29,27,29,31,43
583,49,29,33,35,45,33,45,31,49,35
584,23,29,27,45,41,35,41,37,23,31
585,31,41,39,27,49,29,43,35,47,37
586,36,24,28,24,44,26,30,30,36,40
587,46,38,40,54,34,26,26,32,28,38
588,21,41,27,37,39,35,29,33,35,39
589,42,50,42,46,42,40,30,42,46,38
590,28,38,24,32,38,46,52,48,30,36
591,34,42,30,34,48,32,34,32,42,24
592,37,31,23,37,51,39,25,27,17,37
593,30,30,26,26,30,54,32,22,26,42
594,48,34,22,32,24,22,34,28,36,24
595,25,47,29,29,23,31,29,25,35,27
596,24,38,46,36,34,28,28,36,30,22
597,23,27,43,23,53,55,27,39,21,45
598,38,26,32,36,34,32,38,26,34,30
599,46,30,42,22,30,48,32,30,32,40
600,40,38,48,52,28,24,34,26,26,34
601,40,36,46,38,38,36,40,36,38,42
602,28,30,22,32,22,26,26,18,34,22
603,52,30,28,30,40,38,38,34,36,40
604,29,31,19,31,25,33,21,41,41,17
605,21,23,51,29,21,25,37,21,39,33
606,28,34,42,42,30,46,40,44,48,28
607,26,36,28,40,42,26,24,52,40,44
608,33,45,31,29,45,31,49,31,41,35
609,31,35,27,23,45,49,29,33,55,25
610,30,32,46,40,40,42,32,24,26,26
