Iteration,0,1,2,3,4,5,6,7,8,9,10
377,33,19,17,15,19,29,23,17,17,15,11
378,31,17,21,19,17,21,21,29,25,21,19
379,25,13,23,27,23,17,25,31,15,19,19
380,18,28,16,16,16,12,16,28,14,14,20
381,49,39,35,19,25,23,23,47,21,29,23
382,21,15,15,13,17,21,13,29,23,29,21
383,55,27,21,31,33,39,19,43,27,29,29
384,26,24,32,18,36,20,22,26,26,16,34
385,20,30,24,32,26,24,34,26,36,20,22
386,15,17,11,11,15,25,15,21,27,9,13
387,4,6,8,4,12,8,6,6,6,6,4
388,33,29,29,29,47,25,29,45,11,29,17
389,24,28,16,12,18,20,14,24,18,14,16
390,28,14,18,20,28,26,16,24,20,34,20
391,18,26,14,16,20,14,28,14,12,10,14
392,27,17,33,15,17,15,13,29,21,19,17
393,20,18,18,28,22,16,12,28,16,20,18
394,17,19,19,21,11,15,21,13,13,21,25
395,21,19,21,21,35,29,21,19,21,25,17
396,26,24,16,14,24,20,16,24,24,18,16
397,37,17,17,17,29,25,19,23,29,21,19
398,30,12,26,24,42,18,22,38,28,22,28
399,56,32,28,42,26,28,24,32,22,28,30
400,17,23,25,23,35,15,21,17,19,19,21
401,13,15,11,17,17,23,21,37,21,19,23
402,43,29,19,21,15,21,29,23,15,25,33
403,23,17,33,37,49,45,13,33,29,21,23
404,29,27,27,33,29,31,33,41,25,33,25
405,15,33,41,21,37,35,19,35,27,35,21
406,19,29,17,15,19,21,19,35,23,17,21
407,22,12,20,16,8,12,12,14,10,10,12
408,14,26,14,22,30,22,20,34,20,28,14
409,11,13,13,15,13,15,19,29,13,13,13
410,39,11,9,15,13,25,7,7,7,11,13
411,4,6,6,12,6,8,6,4,12,6,6
412,39,13,17,15,33,25,17,19,11,19,15
413,28,42,26,38,28,26,28,34,26,20,22
414,37,25,31,35,33,23,27,25,29,21,27
415,17,21,19,31,17,35,27,53,19,17,23
416,31,25,29,21,27,27,29,21,35,21,33
417,30,16,20,18,28,16,42,24,30,22,16
418,52,26,16,18,24,22,24,26,24,32,20
419,31,17,21,23,25,15,39,13,13,21,17
420,48,24,22,24,20,14,28,20,20,28,18
421,36,22,18,26,20,32,28,20,24,28,24
422,30,16,16,20,34,14,14,26,20,20,24
423,20,24,22,28,26,22,20,24,22,20,18
424,40,24,14,18,28,14,16,14,20,12,20
425,25,19,27,23,19,29,25,41,19,31,29
426,21,19,15,15,19,13,15,17,9,13,13
427,25,19,17,19,13,21,23,27,15,21,15
428,18,18,24,14,22,30,22,34,30,18,24
429,35,21,19,27,25,25,19,23,23,19,23
430,38,22,28,34,20,22,20,30,20,20,28
431,10,12,12,12,28,10,14,34,8,10,10
432,28,18,32,32,26,24,30,22,34,34,40
433,34,26,28,38,28,22,24,40,24,22,30
434,24,20,20,22,30,14,20,26,32,16,18
435,26,28,34,28,34,34,26,24,32,24,34
436,25,29,21,23,23,19,25,27,25,29,23
437,21,13,13,13,13,13,11,17,13,15,15
438,22,10,10,8,36,10,14,24,10,14,8
439,26,24,18,22,18,18,18,26,16,20,18
440,31,25,27,25,17,29,23,41,33,23,23
441,55,35,33,31,39,33,31,27,29,45,33
442,29,19,15,17,25,13,19,29,15,17,21
443,38,32,30,20,26,28,16,36,28,18,26
444,19,19,29,15,9,13,17,31,11,33,19
445,28,24,32,24,22,26,30,50,28,32,22
446,27,25,41,33,33,33,19,23,25,27,23
447,20,28,40,34,24,18,26,24,22,26,18
448,32,30,18,16,14,14,26,70,22,16,26
449,20,18,26,20,28,38,20,24,16,22,18
450,20,20,18,32,34,34,20,24,12,16,20
451,20,36,34,34,28,20,42,32,28,26,18
452,25,17,23,19,39,21,19,25,23,23,21
453,15,21,27,33,23,23,25,29,19,27,21
454,37,25,25,39,19,35,27,29,25,23,29
455,28,28,22,24,22,24,28,30,24,18,24
456,27,11,13,17,17,19,15,27,17,17,19
457,23,39,15,15,37,13,25,11,13,17,19
458,26,18,20,18,12,18,24,36,16,16,22
459,31,29,27,25,23,23,37,23,25,25,23
460,29,25,27,17,29,35,31,41,27,25,33
461,41,23,23,31,23,25,21,19,25,25,17
462,24,22,20,20,28,26,22,20,32,18,22
463,22,20,30,42,24,18,28,18,24,22,20
464,31,21,23,21,41,23,25,39,29,23,23
465,27,31,23,27,23,23,27,17,21,31,21
466,28,18,18,14,24,20,22,28,16,22,22
467,25,29,25,31,37,31,27,35,27,25,27
468,29,21,33,25,29,13,19,13,21,15,15
469,35,19,29,19,53,25,25,17,23,23,33
470,40,18,18,18,32,14,16,28,22,16,18
471,21,19,29,33,21,31,29,27,43,25,25
472,19,15,19,19,17,21,13,31,17,19,17
473,29,21,15,21,17,25,43,17,15,17,11
474,33,29,27,23,29,23,27,31,25,23,35
475,33,17,21,17,53,15,17,71,17,17,19
476,23,23,19,23,21,23,21,39,17,25,29
477,19,17,19,23,25,23,19,21,19,23,21
478,27,25,35,27,33,29,27,29,31,29,31
479,18,18,20,18,22,22,24,34,18,28,22
480,51,27,27,17,23,21,35,43,27,31,19
481,31,27,21,17,31,37,23,23,25,19,23
482,42,20,22,16,32,20,26,28,22,18,44
483,23,21,15,9,35,11,17,25,7,13,13
484,39,15,15,15,17,25,15,33,13,21,23
485,30,20,24,26,26,22,30,22,24,16,24
486,32,16,16,8,12,14,8,28,12,16,16
487,33,23,25,25,33,23,47,29,41,25,31
488,41,23,43,25,37,31,29,41,21,19,15
489,13,15,15,17,17,13,25,25,15,27,19
490,18,14,14,16,20,12,16,20,20,12,18
491,23,21,21,27,21,17,17,25,25,25,39
492,22,32,32,26,40,30,20,42,30,24,24
493,32,50,28,28,42,24,30,26,36,20,24
494,21,13,17,21,15,13,17,27,15,17,17
495,41,27,29,21,45,23,21,27,19,31,47
496,36,40,30,30,32,30,30,48,26,24,26
497,24,24,18,20,16,20,18,28,18,28,16
498,25,19,19,23,11,7,13,35,21,19,9
499,44,34,26,26,18,22,34,24,24,20,32
500,26,28,18,20,18,24,22,32,32,36,22
501,25,33,15,17,25,25,25,49,25,39,23
502,25,29,31,21,31,25,23,33,21,27,29
503,37,13,21,15,55,19,15,23,19,15,19
504,21,13,13,9,9,11,15,13,9,11,11
505,27,19,19,17,15,15,15,29,11,17,19
506,19,15,33,27,31,39,21,47,23,29,25
507,16,26,28,28,28,20,20,22,24,32,18
508,17,23,15,15,21,25,19,15,15,35,21
509,28,22,18,20,34,20,34,42,26,20,30
510,21,25,29,27,17,25,23,23,33,31,19
511,14,14,18,16,22,20,14,18,16,14,16
512,28,28,30,20,26,24,18,16,16,22,18
513,29,25,27,29,35,21,45,39,33,23,25
514,33,21,21,25,31,21,29,41,21,19,21
515,12,18,18,16,40,18,20,40,20,32,14
516,18,18,14,20,42,20,14,20,18,16,16
517,26,20,20,14,22,20,18,18,14,32,18
518,25,17,13,19,25,17,21,25,17,21,15
519,43,19,25,21,21,23,27,33,35,29,25
520,26,18,36,20,28,18,20,22,30,26,16
521,21,23,17,19,43,19,27,19,21,21,21
522,30,22,26,16,26,14,12,26,22,20,16
523,21,19,21,21,19,21,17,19,25,29,23
524,14,22,22,14,22,16,16,20,18,26,22
525,22,16,12,16,40,10,10,32,16,12,12
526,52,30,24,30,20,20,20,26,22,24,24
527,27,27,25,31,27,27,25,25,21,27,25
528,26,22,14,28,46,32,18,28,26,26,28
529,36,30,32,32,48,24,38,46,42,50,36
530,32,28,40,22,24,22,26,62,28,26,24
531,36,28,30,14,24,22,16,38,20,18,60
532,17,21,23,33,23,23,19,19,19,23,27
533,33,21,27,19,25,23,31,31,33,21,25
534,20,24,20,24,32,22,18,42,18,22,18
535,33,23,45,31,23,31,27,25,19,31,23
536,53,17,15,19,15,19,17,23,17,17,25
537,21,23,21,23,17,23,29,29,29,21,21
538,34,22,20,26,26,28,22,26,32,30,26
539,22,22,18,18,18,16,20,16,22,18,18
540,28,22,30,24,34,42,24,44,36,30,16
541,43,33,31,23,69,33,41,41,29,27,33
542,25,15,17,19,27,15,15,13,15,23,15
543,28,24,28,32,44,28,24,34,30,40,26
544,11,7,13,17,9,9,9,21,11,9,17
545,26,28,32,28,26,32,26,24,32,30,36
