config,L,C,M
1076,80,28,3
1077,80,28,3
1078,16,8,2
1079,144,48,3
1080,9,5,2
1081,2,2,1
1082,16,8,2
1083,16,8,2
1084,9,5,2
1085,2,2,1
1086,2,2,1
1087,80,28,3
1088,36,14,3
1089,16,8,2
1090,2,2,1
1091,2,2,1
1092,460,122,4
1093,520,136,4
1094,80,28,3
1095,80,28,3
1096,9,5,2
1097,16,8,2
1098,16,8,2
1099,2,2,1
1100,9,5,2
1101,16,8,2
1102,2,2,1
1103,16,8,2
1104,16,8,2
1105,36,14,3
1106,2,2,1
1107,2,2,1
1108,36,14,3
1109,312,84,4
1110,36,14,3
1111,36,14,3
1112,2,2,1
1113,36,14,3
1114,16,8,2
1115,2,2,1
1116,2,2,1
1117,36,14,3
1118,2,2,1
1119,16,8,2
1120,2,2,1
1121,2,2,1
1122,2,2,1
1123,0,1,0
1124,9,5,2
1125,50,18,3
1126,80,28,3
1127,9,5,2
1128,0,1,0
1129,2,2,1
1130,9,5,2
1131,0,1,0
1132,0,1,0
1133,2,2,1
1134,2,2,1
1135,2,2,1
1136,2,2,1
1137,2,2,1
1138,0,1,0
1139,2,2,1
1140,9,5,2
1141,50,18,3
1142,9,5,2
1143,80,28,3
1144,0,1,0
1145,2,2,1
1146,2,2,1
1147,2,2,1
1148,0,1,0
1149,2,2,1
1150,0,1,0
1151,9,5,2
1152,36,14,3
1153,2,2,1
1154,16,8,2
1155,2,2,1
1156,80,28,3
1157,80,28,3
1158,144,48,3
1159,16,8,2
1160,80,28,3
1161,16,8,2
1162,108,36,3
1163,16,8,2
1164,9,5,2
1165,2,2,1
1166,16,8,2
1167,16,8,2
1168,16,8,2
1169,9,5,2
1170,16,8,2
1171,2,2,1
1172,9,5,2
1173,56,20,3
1174,80,28,3
1175,9,5,2
1176,16,8,2
1177,80,28,3
1178,108,36,3
1179,16,8,2
1180,2,2,1
1181,9,5,2
1182,16,8,2
1183,16,8,2
1184,2,2,1
1185,0,1,0
1186,9,5,2
1187,0,1,0
1188,2,2,1
1189,9,5,2
1190,80,28,3
1191,2,2,1
1192,2,2,1
1193,2,2,1
1194,50,18,3
1195,2,2,1
1196,0,1,0
1197,0,1,0
1198,9,5,2
1199,2,2,1
1200,2,2,1
1201,0,1,0
1202,2,2,1
1203,2,2,1
1204,2,2,1
1205,9,5,2
1206,16,8,2
1207,16,8,2
1208,2,2,1
1209,2,2,1
1210,12,6,2
1211,16,8,2
1212,0,1,0
1213,0,1,0
1214,2,2,1
1215,9,5,2
1216,36,14,3
1217,2,2,1
1218,2,2,1
1219,16,8,2
1220,80,28,3
1221,80,28,3
1222,16,8,2
1223,144,48,3
1224,9,5,2
1225,2,2,1
1226,16,8,2
1227,16,8,2
1228,80,28,3
1229,16,8,2
1230,16,8,2
1231,108,36,3
1232,16,8,2
1233,9,5,2
1234,2,2,1
1235,16,8,2
1236,9,5,2
1237,56,20,3
1238,9,5,2
1239,80,28,3
1240,2,2,1
1241,9,5,2
1242,16,8,2
1243,16,8,2
1244,16,8,2
1245,80,28,3
1246,16,8,2
1247,108,36,3
1248,2,2,1
1249,0,1,0
1250,2,2,1
1251,2,2,1
1252,2,2,1
1253,9,5,2
1254,16,8,2
1255,16,8,2
1256,0,1,0
1257,0,1,0
1258,9,5,2
1259,2,2,1
1260,2,2,1
1261,2,2,1
1262,16,8,2
1263,12,6,2
1264,2,2,1
1265,0,1,0
1266,0,1,0
1267,9,5,2
1268,2,2,1
1269,9,5,2
1270,2,2,1
1271,80,28,3
1272,0,1,0
1273,0,1,0
1274,2,2,1
1275,9,5,2
1276,2,2,1
1277,2,2,1
1278,2,2,1
1279,50,18,3
1280,520,136,4
1281,16,8,2
1282,16,8,2
1283,16,8,2
1284,460,122,4
1285,36,14,3
1286,9,5,2
1287,9,5,2
1288,80,28,3
1289,2,2,1
1290,16,8,2
1291,2,2,1
1292,80,28,3
1293,2,2,1
1294,2,2,1
1295,16,8,2
1296,864,216,4
1297,520,136,4
1298,108,36,3
1299,108,36,3
1300,520,136,4
1301,312,84,4
1302,50,18,3
1303,50,18,3
1304,108,36,3
1305,50,18,3
1306,108,36,3
1307,12,6,2
1308,108,36,3
1309,50,18,3
1310,12,6,2
1311,108,36,3
1312,108,36,3
1313,16,8,2
1314,144,48,3
1315,16,8,2
1316,80,28,3
1317,36,14,3
1318,80,28,3
1319,9,5,2
1320,16,8,2
1321,2,2,1
1322,80,28,3
1323,2,2,1
1324,16,8,2
1325,2,2,1
1326,16,8,2
1327,16,8,2
1328,108,36,3
1329,16,8,2
1330,16,8,2
1331,144,48,3
1332,80,28,3
1333,36,14,3
1334,9,5,2
1335,80,28,3
1336,16,8,2
1337,2,2,1
1338,16,8,2
1339,16,8,2
1340,16,8,2
1341,2,2,1
1342,2,2,1
1343,80,28,3
1344,460,122,4
1345,36,14,3
1346,9,5,2
1347,9,5,2
1348,584,152,4
1349,312,84,4
1350,56,20,3
1351,56,20,3
1352,80,28,3
1353,36,14,3
1354,80,28,3
1355,9,5,2
1356,80,28,3
1357,36,14,3
1358,9,5,2
1359,80,28,3
1360,520,136,4
1361,312,84,4
1362,50,18,3
1363,50,18,3
1364,312,84,4
1365,2376,504,5
1366,312,84,4
1367,312,84,4
1368,50,18,3
1369,312,84,4
1370,520,136,4
1371,50,18,3
1372,50,18,3
1373,312,84,4
1374,50,18,3
1375,520,136,4
1376,80,28,3
1377,36,14,3
1378,80,28,3
1379,9,5,2
1380,56,20,3
1381,312,84,4
1382,584,152,4
1383,56,20,3
1384,9,5,2
1385,36,14,3
1386,460,122,4
1387,9,5,2
1388,9,5,2
1389,36,14,3
1390,80,28,3
1391,80,28,3
1392,80,28,3
1393,36,14,3
1394,9,5,2
1395,80,28,3
1396,56,20,3
1397,312,84,4
1398,56,20,3
1399,584,152,4
1400,9,5,2
1401,36,14,3
1402,80,28,3
1403,80,28,3
1404,9,5,2
1405,36,14,3
1406,9,5,2
1407,460,122,4
1408,80,28,3
1409,2,2,1
1410,16,8,2
1411,2,2,1
1412,80,28,3
1413,36,14,3
1414,80,28,3
1415,9,5,2
1416,144,48,3
1417,16,8,2
1418,108,36,3
1419,16,8,2
1420,16,8,2
1421,2,2,1
1422,16,8,2
1423,16,8,2
1424,108,36,3
1425,50,18,3
1426,108,36,3
1427,12,6,2
1428,50,18,3
1429,312,84,4
1430,520,136,4
1431,50,18,3
1432,108,36,3
1433,520,136,4
1434,864,216,4
1435,108,36,3
1436,12,6,2
1437,50,18,3
1438,108,36,3
1439,108,36,3
1440,16,8,2
1441,2,2,1
1442,80,28,3
1443,2,2,1
1444,9,5,2
1445,36,14,3
1446,460,122,4
1447,9,5,2
1448,16,8,2
1449,16,8,2
1450,520,136,4
1451,16,8,2
1452,2,2,1
1453,2,2,1
1454,80,28,3
1455,16,8,2
1456,16,8,2
1457,2,2,1
1458,16,8,2
1459,16,8,2
1460,9,5,2
1461,36,14,3
1462,80,28,3
1463,80,28,3
1464,16,8,2
1465,16,8,2
1466,108,36,3
1467,144,48,3
1468,2,2,1
1469,2,2,1
1470,16,8,2
1471,80,28,3
1472,80,28,3
1473,2,2,1
1474,2,2,1
1475,16,8,2
1476,80,28,3
1477,36,14,3
1478,9,5,2
1479,80,28,3
1480,16,8,2
1481,2,2,1
1482,16,8,2
1483,16,8,2
1484,144,48,3
1485,16,8,2
1486,16,8,2
1487,108,36,3
1488,108,36,3
1489,50,18,3
1490,12,6,2
1491,108,36,3
1492,50,18,3
1493,312,84,4
1494,50,18,3
1495,520,136,4
1496,12,6,2
1497,50,18,3
1498,108,36,3
1499,108,36,3
1500,108,36,3
1501,520,136,4
1502,108,36,3
1503,864,216,4
1504,16,8,2
1505,2,2,1
1506,16,8,2
1507,16,8,2
1508,9,5,2
1509,36,14,3
1510,80,28,3
1511,80,28,3
1512,2,2,1
1513,2,2,1
1514,80,28,3
1515,16,8,2
1516,16,8,2
1517,16,8,2
1518,144,48,3
1519,108,36,3
1520,16,8,2
1521,2,2,1
1522,2,2,1
1523,80,28,3
1524,9,5,2
1525,36,14,3
1526,9,5,2
1527,460,122,4
1528,2,2,1
1529,2,2,1
1530,16,8,2
1531,80,28,3
1532,16,8,2
1533,16,8,2
1534,16,8,2
1535,520,136,4
1536,50,18,3
1537,2,2,1
1538,2,2,1
1539,2,2,1
1540,80,28,3
1541,9,5,2
1542,2,2,1
1543,2,2,1
1544,9,5,2
1545,0,1,0
1546,2,2,1
1547,0,1,0
1548,9,5,2
1549,0,1,0
1550,0,1,0
1551,2,2,1
1552,108,36,3
1553,80,28,3
1554,16,8,2
1555,16,8,2
1556,80,28,3
1557,56,20,3
1558,9,5,2
1559,9,5,2
1560,16,8,2
1561,9,5,2
1562,16,8,2
1563,2,2,1
1564,16,8,2
1565,9,5,2
1566,2,2,1
1567,16,8,2
1568,108,36,3
1569,16,8,2
1570,80,28,3
1571,16,8,2
1572,144,48,3
1573,80,28,3
1574,80,28,3
1575,16,8,2
1576,16,8,2
1577,2,2,1
1578,36,14,3
1579,2,2,1
1580,16,8,2
1581,2,2,1
1582,9,5,2
1583,16,8,2
1584,12,6,2
1585,2,2,1
1586,2,2,1
1587,16,8,2
1588,16,8,2
1589,9,5,2
1590,2,2,1
1591,16,8,2
1592,2,2,1
1593,0,1,0
1594,2,2,1
1595,2,2,1
1596,2,2,1
1597,0,1,0
1598,0,1,0
1599,9,5,2
1600,9,5,2
1601,2,2,1
1602,0,1,0
1603,0,1,0
1604,80,28,3
1605,50,18,3
1606,9,5,2
1607,9,5,2
1608,2,2,1
1609,2,2,1
1610,2,2,1
1611,0,1,0
1612,2,2,1
1613,2,2,1
1614,0,1,0
1615,2,2,1
1616,16,8,2
1617,36,14,3
1618,2,2,1
1619,2,2,1
1620,36,14,3
1621,312,84,4
1622,36,14,3
1623,36,14,3
1624,2,2,1
1625,36,14,3
1626,16,8,2
1627,2,2,1
1628,2,2,1
1629,36,14,3
1630,2,2,1
1631,16,8,2
1632,16,8,2
1633,16,8,2
1634,9,5,2
1635,2,2,1
1636,80,28,3
1637,520,136,4
1638,460,122,4
1639,80,28,3
1640,2,2,1
1641,16,8,2
1642,36,14,3
1643,2,2,1
1644,2,2,1
1645,16,8,2
1646,9,5,2
1647,16,8,2
1648,2,2,1
1649,2,2,1
1650,0,1,0
1651,2,2,1
1652,9,5,2
1653,50,18,3
1654,9,5,2
1655,80,28,3
1656,0,1,0
1657,2,2,1
1658,2,2,1
1659,2,2,1
1660,0,1,0
1661,2,2,1
