Iteration,0,1,2,3,4,5,6,7,8,9
281,1,1,1,1,1,1,1,1,1,1
282,1,2,1,2,2,2,2,2,2,1
283,1,1,1,2,1,1,2,3,1,3
284,3,3,3,3,2,3,2,3,3,3
285,3,3,2,3,2,3,2,3,1,2
286,3,3,2,3,3,2,2,3,2,3
287,1,1,1,1,1,1,1,1,1,1
288,1,1,1,1,1,1,1,1,1,1
289,2,1,1,2,2,2,2,2,2,1
290,3,3,3,3,2,2,2,2,2,2
291,3,4,4,3,3,3,3,4,2,2
292,1,1,1,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1,1,1,1
294,1,1,1,1,1,1,1,1,1,1
295,2,2,1,2,2,1,2,2,1,2
296,2,3,3,3,3,3,3,3,2,2
297,9,7,9,4,4,8,3,3,8,5
298,2,1,2,1,2,2,1,1,2,1
299,1,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1,1
301,4,3,2,4,3,4,4,3,4,3
302,1,1,1,1,1,1,1,1,1,1
303,2,2,2,2,2,2,2,2,2,2
304,1,2,2,1,2,2,2,2,2,2
305,3,3,3,1,1,3,3,2,3,3
306,1,3,3,3,3,2,1,3,2,3
307,2,3,3,4,2,2,3,4,4,3
308,3,2,3,1,2,1,3,3,3,1
309,1,2,2,1,2,2,1,2,2,1
310,2,2,1,2,1,2,2,2,1,1
311,1,1,1,1,1,1,1,1,1,1
312,2,1,1,2,2,2,1,2,2,2
313,2,2,2,2,2,2,1,1,2,1
314,3,3,3,3,1,2,1,3,3,3
315,1,2,2,1,2,2,3,3,3,3
316,1,1,1,1,1,1,1,1,1,1
317,3,2,3,3,3,3,3,3,2,3
318,2,1,3,2,1,3,1,3,1,3
319,2,2,2,2,1,2,2,2,2,1
320,1,1,1,1,1,1,1,1,1,1
321,2,2,2,1,1,2,2,1,1,1
322,2,2,2,2,2,2,2,2,2,2
323,1,1,1,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1
326,4,1,3,3,4,1,1,2,3,2
327,3,3,3,2,2,1,3,3,1,3
